Alimentos,Antes Covid-19,Apos Covid-19,Preço Alimentos(R$), Preço Alimentos(R$)
Nome dos alimentos,08/Fev e 07/Mar (Inflaçao %),23/Mar e 22/Abr (Inflacao%),Mes de Fevereiro,Mes de Outubro
-------------------------------------------------------------------------------------------------------------'
Arroz,1.16%,2.77%,(1Kg) R$ 4.25,(1Kg) R$ 4.92
Feijao-Carioca,-1.45%,8.26%,(1Kg) R$ 5.21, (1Kg) R$ 7.99
Feijao-Preto,-2.73%,8.13%,(1Kg) R$ 8.98,(1Kg) R$ 12.14
Batata-Inglesa,0.33%,13.69%,(1Kg) R$ 3.17,(1Kg) R$ 4.20
Tomate,6.71%,1.79%,(1Kg) R$ 4.37,(1Kg) R$ 5.60
Banana-Prata, 4.85%,1.68%,(1Kg) R$ 3.13,(1Kg) R$ 4,30
Farinha de Mandioca, -2.18%,1.21%,(1Kg) R$ 4.50,(1Kg) R$ 6.99
Farinha de Trigo,-0.92%,1.28%,(1Kg) R$ 3.00,(1Kg) R$ 4.30
Pao Frances,0.64%,0.33%,(1Kg) R$ 7.49,(1Kg) R$ 6.10
Acucar Refinado,0.53%,1.67%,(1Kg) R$ 2.62,(1Kg) R$ 3.49
Acucar Cristal,2.49%,2.19%,(1Kg) R$ 2.90,(1Kg) R$ 3.30
Leite em Po,0.24%,2.30%,(400g) R$ 11.90,(1Kg) R$ 13.99
LeiteTipo Longa Vida, -1.10%,7.55%,(1L) R$ 2.68,(1L) R$ 3.50
Manteiga,-0.04%,0.92%,(500g) R$ 5.45,(500g) R$ 5.99
Doces,-0.32%,0.55%,(500g) R$ 7.50,(500g) R$ 7.99
Frango Inteiro,-1.97%,1.01%,(1Kg) R$ 8.08,(1Kg) R$ 8.99
Ovos,7.21%,6.57%,(Uma duzia) R$ 6.11,(Uma duzia) R$ 6.70
Carnes Bovinas,-1.76%,-0.43%,(1Kg) R$ 25.88,(1Kg) R$ 27.87
Frutas,-5.56%,0.06%,(1Kg) R$ 4.68 Media/Fruta,(1Kg) R$ 3.90 Media/Fruta
Legumes,17.27%,6.01%,(1Kg) R$ 5.67 Media/Legumes,(1Kg) R$ 2.67 Media/Legumes
Verduras,0.94%,-1.06%,(1Kg) R$ 6.67 Media/Verguras,(1Kg) R$ 5.70 Media/Verduras
Carnes Suinas,-4.79%,-0.94%,(1Kg) R$ 8.79,(1Kg) R$ 7.70
Oleos,1.33%,0.89%,(900ml) R$ 4.35,(900ml) R$ 5.76 
Biscoitos e Salgados,-0.11%,-0.41%,(150g) R$ 2.99,(150g) R$ 2.80
Refrigerante, -1,00%,-0.83%,(1L) R$ 3.16,(1L) R$ 3.06
Macarrao, 5,00%,10,00%,(500g) R$ 2.68,(1Kg) R$ 2.80
Sal, 0.25%,0.45%,(1Kg) R$ 1.85,(1Kg) R$ 3.00
Agua, 0.28%,1.28%,(Garrafa de 1.5 litros) R$ 2.00,(Garrafa de 1.5 litros) R$ 3.00
Peixes, 1.50%,2.20%,(1Kg) R$ 15.00,(1Kg) R$ 23.00
Queijo, 0.77%,2.48%,(1Kg) R$ 25.70,(1Kg) R$ 29.70
